Region	Type	Price	Cost
M	SF	348744	53000.00
M	SF	274455	41000.00
M	SF	277720	44650.00
M	SF	307373	41292.00
M	SF	271105	45000.00
M	SF	262740	44900.00
M	SF	175000	28000.00
M	SF	201700	40940.00
M	SF	283440	50900.00
M	SF	185160	29000.00
M	SF	323716	34500.00
M	SF	281487	57285.00
M	SF	184460	22300.00
M	SF	289000	44000.00
M	SF	410810	66500.00
M	SF	184210	28000.00
M	SF	223890	28000.00
M	SF	189120	35000.00
M	SF	230440	33000.00
M	SF	330486	35000.00
M	SF	250005	33000.00
M	SF	203950	33000.00
M	SF	230555	28000.00
M	SF	183370	28000.00
M	T	112740	20700.00
M	T	179365	32200.00
M	T	155870	24650.00
M	T	155270	19600.00
M	T	116415	19600.00
M	T	147905	24650.00
M	T	139955	30400.00
M	T	184873	33400.00
M	T	212079	33400.00
M	T	265500	35800.00
M	T	175470	28600.00
M	T	115350	18030.00
M	T	85145	17030.00
M	T	139435	29155.00
M	T	133070	24455.00
M	SF	165220	25500.00
M	SF	136530	25500.00
M	SF	153845	27500.00
M	SF	165350	25000.00
M	SF	168354	27316.00
M	SF	170000	25200.00
M	SF	210380	33856.00
M	SF	268210	29700.00
M	SF	233900	44200.00
M	SF	168500	33000.00
M	SF	248500	20000.00
M	SF	220257	31300.00
M	SF	214900	31300.00
M	SF	211513	31300.00
M	SF	188603	31300.00
M	T	187390	27000.00
S	T	335000	68375.00
S	T	294450	73400.00
S	T	267060	73400.00
S	T	250800	73400.00
S	T	269410	73400.00
S	T	267640	73400.00
S	T	260100	73400.00
S	SF	301500	59000.00
S	SF	309075	82250.00
S	SF	290190	82250.00
S	SF	322920	82250.00
S	SF	319602	82250.00
S	SF	294990	57000.00
S	SF	286758	57000.00
S	SF	352781	60000.00
S	SF	310372	60000.00
S	SF	400330	75510.00
S	SF	446507	75510.00
S	T	198202	45025.00
S	T	200423	45025.00
S	T	181916	45025.00
S	T	203076	45025.00
S	T	196898	45025.00
S	T	182237	45025.00
S	T	224108	45025.00
S	T	230000	45025.00
S	T	172749	45025.00
S	SF	318274	85800.00
S	SF	191028	45000.00
S	SF	200119	45000.00
S	SF	242899	48252.00
S	SF	387527	48000.00
S	SF	257040	37631.00
S	SF	270518	46499.00
S	SF	265058	41404.00
S	SF	255000	43198.00
S	SF	385942	49123.00
S	SF	354065	48115.00
S	SF	333158	49123.00
S	SF	254048	39680.00
S	SF	246648	41600.00
S	SF	367600	50000.00
S	SF	318523	50000.00
S	SF	359949	50591.00
S	SF	281824	50448.00
S	SF	355688	65373.00
S	SF	305000	49067.00
S	SF	299096	43784.00
S	SF	280622	45130.00
S	SF	404510	58225.00
S	SF	371152	58223.00
S	SF	219990	37557.00
S	SF	432426	57422.00
S	SF	268000	43344.00
S	SF	312898	40768.00
S	SF	267250	45676.00
S	SF	379000	72915.00
S	SF	342423	48309.00
S	SF	337374	70399.00
S	SF	358162	44470.00
S	SF	398651	65429.00
S	SF	280804	40667.00
S	SF	407076	48668.00
S	SF	268500	41099.00
S	SF	444304	53938.00
S	SF	324266	47891.00
S	SF	307387	45850.00
S	SF	369101	46773.00
S	SF	350702	46386.00
S	SF	329611	48611.00
S	SF	242191	33434.00
S	SF	379424	64902.00
S	SF	324412	62523.00
S	SF	340730	50850.00
S	SF	310100	41800.00
S	SF	354117	56219.00
S	SF	330710	49920.00
S	SF	417790	63099.00
S	SF	290000	48300.00
S	SF	274903	45345.00
S	SF	209400	43579.00
S	SF	205821	39299.00
S	SF	287771	46300.00
S	SF	575120	79790.00
S	SF	226000	35600.00
S	SF	216049	35600.00
S	SF	207345	35600.00
S	SF	211797	34000.00
S	SF	204900	34000.00
S	SF	206400	35851.00
S	SF	186000	35851.00
S	SF	249900	38200.00
S	SF	214205	36500.00
S	SF	256235	48500.00
S	SF	262890	48500.00
S	SF	338065	54850.00
S	SF	326570	51000.00
S	SF	239000	39169.00
S	SF	239870	41354.00
S	SF	241195	41340.00
S	SF	252135	41341.00
S	SF	253055	41340.00
S	SF	160000	29500.00
S	SF	337380	49150.00
S	SF	492820	84122.00
S	SF	385000	75000.00
S	SF	340000	40000.00
S	SF	202000	31160.00
S	SF	234971	29202.00
S	SF	225900	28618.00
S	SF	366990	55508.00
S	SF	307663	44840.00
S	SF	379575	44294.00
